CUSTID,MONTH,YEAR,BUSINESS,NSV
10000,5,2014,CAKES,21793
10000,8,2014,ICECREAM,29630
10000,10,2014,CAKES,1530
10000,10,2014,CHOCOLATES,7155
10001,3,2014,CHOCOLATES,39256
10001,6,2014,ICECREAM,20355
10001,7,2014,ICECREAM,6122
10001,12,2014,CHOCOLATES,2902
10004,8,2014,CHOCOLATES,34218
10004,10,2014,CAKES,28881
10004,11,2014,ICECREAM,6783
10005,8,2014,CAKES,2311
10005,12,2014,CHOCOLATES,6869
10006,2,2014,CAKES,45340
10006,4,2014,ICECREAM,7720
10006,5,2014,CAKES,22781
10006,9,2014,CHOCOLATES,9485
10006,10,2014,CAKES,8060
10008,1,2014,CAKES,28132
10008,7,2014,CAKES,5387
10009,1,2014,CAKES,10230
10010,2,2014,CAKES,9230
10010,4,2014,CAKES,35358
10010,5,2014,ICECREAM,11048
10010,8,2014,CHOCOLATES,24328
10010,10,2014,CAKES,29547
10010,12,2014,CHOCOLATES,12021
10011,5,2014,CAKES,20864
10011,9,2014,CHOCOLATES,4912
10012,2,2014,ICECREAM,13995
10012,4,2014,CHOCOLATES,16783
10012,5,2014,CAKES,39766
10012,7,2014,ICECREAM,16280
10012,7,2014,ICECREAM,37048
10013,5,2014,CHOCOLATES,25310
10013,5,2014,CHOCOLATES,25701
10013,12,2014,CAKES,37978
10014,8,2014,CAKES,31793
10014,9,2014,CHOCOLATES,5116
10014,11,2014,CHOCOLATES,62287
10015,8,2014,CAKES,16956
10015,11,2014,CHOCOLATES,22039
10016,2,2014,CHOCOLATES,5839
10016,6,2014,CAKES,36183
10016,6,2014,CHOCOLATES,11720
10017,1,2014,CAKES,32823
10017,10,2014,ICECREAM,12974
10018,1,2014,CAKES,30181
10019,3,2014,ICECREAM,15349
10019,6,2014,ICECREAM,34050
10019,6,2014,CHOCOLATES,24697
10019,12,2014,CAKES,8281
10020,4,2014,CAKES,5108
10020,5,2014,CHOCOLATES,21808
10020,8,2014,CHOCOLATES,57252
10020,11,2014,CAKES,1543
10021,7,2014,CHOCOLATES,18899
10021,7,2014,CHOCOLATES,12075
10021,8,2014,CAKES,39130
10021,9,2014,CAKES,35089
10021,11,2014,CAKES,7353
10022,1,2014,CHOCOLATES,53603
10022,8,2014,CHOCOLATES,8848
