empno,aptitude,testofen,tech_,g_k_,job_prof,function
1,86,110,100,87,88,Marketing
2,62,62,99,100,80,IT
3,110,107,103,103,96,Finance
4,101,117,93,95,76,IT
5,100,101,95,88,80,Finance
6,78,85,95,84,73,Finance
7,120,77,80,74,58,IT
8,105,122,116,102,116,IT
9,112,119,106,105,104,Marketing
10,120,89,105,97,99,Finance
11,87,81,90,88,64,Finance
12,133,120,113,108,126,IT
13,140,121,96,89,94,Marketing
14,84,113,98,78,71,Finance
15,106,102,109,109,111,Marketing
16,109,129,102,108,109,IT
17,104,83,100,102,100,Marketing
18,150,118,107,110,127,Finance
19,98,125,108,95,99,Finance
20,120,94,95,90,82,IT
21,74,121,91,85,67,Marketing
22,96,114,114,103,109,IT
23,104,73,93,80,78,Finance
24,94,121,115,104,115,Marketing
25,91,129,97,83,83,IT
